sex,age,race,decile_score,priors_count,c_charge_degree,r_charge_degree,is_violent_recid,v_decile_score,v_score_text,score_text
Male,2.764700944217908,Other,-1.1527183232696516,-0.6522426029375802,F,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,-0.3460276223968581,Caucasian,0.21346635616104048,-0.6522426029375802,O,O,-0.29488391230979516,-0.6349894043150661,Low,Medium
Male,-0.10044378819042925,African-American,-0.4696259835543055,-0.6522426029375802,F,F,3.3911649915626447,-1.026233646037223,Low,Low
Male,-0.9190565688785254,African-American,-0.12807981369663252,0.18746464255656858,F,M,-0.29488391230979516,-0.24374516259290907,Low,Low
Male,-1.0009178469473352,African-American,1.23810486573406,-0.442315791564043,F,O,-0.29488391230979516,0.9299875625735615,Medium,High
Male,0.6363077144288575,Other,-1.1527183232696516,-0.23238898019050577,F,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,0.7181689924976671,Other,-1.1527183232696516,-0.6522426029375802,M,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,0.47258515829123826,Caucasian,0.5550125260187136,2.2867327562919404,F,F,-0.29488391230979516,-0.6349894043150661,Low,Medium
Male,0.6363077144288575,Other,-0.12807981369663252,-0.022462168816968595,F,O,-0.29488391230979516,-0.24374516259290907,Low,Low
Female,0.30886260215361877,Caucasian,-1.1527183232696516,-0.6522426029375802,M,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,-1.246501681153764,Caucasian,1.9211972054494062,-0.6522426029375802,F,O,-0.29488391230979516,2.1037202877400323,High,High
Female,-0.7553340127409062,Caucasian,0.21346635616104048,-0.6522426029375802,F,O,-0.29488391230979516,-0.24374516259290907,Low,Medium
Male,-1.1646404030849544,Caucasian,-0.4696259835543055,-0.442315791564043,F,M,3.3911649915626447,0.5387433208514045,Medium,Low
Male,-0.6734727346720966,Caucasian,-0.12807981369663252,-0.6522426029375802,F,O,-0.29488391230979516,0.14749907912924773,Low,Low
Male,-1.0009178469473352,African-American,0.5550125260187136,-0.022462168816968595,M,M,-0.29488391230979516,0.14749907912924773,Low,Medium
Female,0.14514004601599956,Caucasian,-1.1527183232696516,-0.6522426029375802,M,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,-1.0827791250161447,Caucasian,-0.4696259835543055,-0.6522426029375802,M,O,-0.29488391230979516,0.5387433208514045,Medium,Low
Male,0.47258515829123826,African-American,-0.12807981369663252,-0.6522426029375802,F,O,-0.29488391230979516,-0.6349894043150661,Low,Low
Female,0.9637528267040959,Caucasian,-1.1527183232696516,-0.442315791564043,F,F,-0.29488391230979516,-1.026233646037223,Low,Low
Male,-0.3460276223968581,African-American,-0.4696259835543055,0.8172450766771803,F,M,-0.29488391230979516,-0.6349894043150661,Low,Low
Male,0.14514004601599956,Hispanic,-1.1527183232696516,-0.6522426029375802,M,O,-0.29488391230979516,-1.026233646037223,Low,Low
Male,-0.8371952908097158,African-American,1.9211972054494062,-0.022462168816968595,F,O,-0.29488391230979516,2.1037202877400323,High,High
Male,-0.3460276223968581,Caucasian,0.21346635616104048,0.607318265303643,F,F,3.3911649915626447,0.14749907912924773,Low,Medium
Male,-0.3460276223968581,Caucasian,-0.4696259835543055,0.3973914539301059,F,F,-0.29488391230979516,-0.6349894043150661,Low,Low
Male,2.3553945538738597,African-American,0.5550125260187136,2.0768059449184033,F,F,-0.29488391230979516,-0.24374516259290907,Low,Medium
Male,-1.1646404030849544,African-American,1.5796510355917328,-0.442315791564043,F,M,-0.29488391230979516,2.1037202877400323,High,High
Male,-0.6734727346720966,Caucasian,-0.8111721534119787,-0.6522426029375802,M,M,-0.29488391230979516,-0.24374516259290907,Low,Low
Female,-1.1646404030849544,Caucasian,-0.12807981369663252,-0.6522426029375802,F,O,-0.29488391230979516,0.5387433208514045,Medium,Low
Male,-0.9190565688785254,African-American,-1.835810662984998,-0.23238898019050577,F,M,-0.29488391230979516,0.9299875625735615,Medium,
Male,-0.9190565688785254,Hispanic,-0.12807981369663252,-0.442315791564043,F,M,-0.29488391230979516,0.5387433208514045,Medium,Low
Male,0.5544464363600479,Caucasian,-0.4696259835543055,-0.442315791564043,F,O,-0.29488391230979516,-1.026233646037223,Low,Low
